case_id,invoice_amount,days_overdue,customer_type,credit_score,past_recovery_rate,dispute_history,dca_id,dca_performance_score,sla_breach_count,recovered,customer_id,customer_name,case_created_date,assigned_date,case_status,amount_recovered,payment_date,case_closed_date,risk_score,priority_level,action_count,last_action_type,last_action_date,next_followup_date,escalation_flag,escalation_reason
CASE_47,70725,36,Enterprise,339,0.89,1,DCA_D,57,0,0,CUST_1046,Anderson Corp,2024-12-10,2024-12-12,DISPUTE,0.0,,,64.5,MEDIUM,7,Email,2024-12-17,2025-01-29,1,Contact Info Invalid
CASE_48,134981,116,SME,480,0.38,0,DCA_B,80,2,0,CUST_1047,Elizabeth Martinez,2024-09-21,2024-09-23,IN_PROGRESS,0.0,,,59.4,MEDIUM,8,Call,2024-11-19,2025-01-27,1,SLA Breach
CASE_49,89654,64,Enterprise,564,0.82,1,DCA_D,70,0,0,CUST_1048,Miller Corp,2024-11-12,2024-11-15,OPEN,0.0,,,50.2,MEDIUM,9,SMS,2025-01-01,2025-01-29,0,
CASE_50,433989,18,SME,405,0.65,0,DCA_C,84,0,1,CUST_1049,William Gonzalez,2024-12-28,2024-12-30,PAID,400002.19,2025-01-06,2025-01-06,44.5,LOW,6,Call,2025-01-01,,0,
CASE_51,386490,89,SME,786,0.49,0,DCA_A,62,0,1,CUST_1050,John Jones,2024-10-18,2024-10-19,PAID,347852.29,2024-12-17,2024-12-17,25.6,LOW,9,Physical Visit,2024-12-08,,0,
CASE_52,72435,163,Enterprise,703,0.9,0,DCA_D,91,2,0,CUST_1051,Jones Corp,2024-08-05,2024-08-06,IN_PROGRESS,0.0,,,49.6,LOW,11,Legal Notice,2024-09-01,2025-01-22,1,SLA Breach
CASE_53,324030,78,SME,689,0.31,0,DCA_C,73,1,0,CUST_1052,Susan Hernandez,2024-10-29,2024-10-29,IN_PROGRESS,0.0,,,32.0,LOW,11,Legal Notice,2024-12-15,2025-01-16,1,SLA Breach
CASE_54,333947,167,SME,422,0.48,0,DCA_C,93,1,0,CUST_1053,David Martinez,2024-08-01,2024-08-02,IN_PROGRESS,0.0,,,76.0,HIGH,12,SMS,2025-01-02,2025-01-16,1,SLA Breach
CASE_55,36551,90,SME,336,0.88,0,DCA_B,85,1,1,CUST_1054,Linda Garcia,2024-10-17,2024-10-18,PAID,35815.48,2024-12-20,2024-12-20,66.7,MEDIUM,3,WhatsApp Reminder,2024-12-16,,1,SLA Breach
CASE_56,383360,8,Enterprise,802,0.61,0,DCA_C,65,0,0,CUST_1055,Brown Holdings,2025-01-07,2025-01-10,OPEN,0.0,,,6.1,LOW,4,SMS,2025-01-13,2025-01-24,0,
CASE_57,278538,15,SME,826,0.69,0,DCA_A,86,4,1,CUST_1056,Richard Gonzalez,2024-12-31,2025-01-02,PAID,264391.77,2025-01-02,2025-01-02,5.5,LOW,11,Call,2025-01-02,,1,SLA Breach
CASE_58,336236,7,Enterprise,896,0.79,0,DCA_C,58,2,0,CUST_1057,Garcia Systems,2025-01-08,2025-01-11,IN_PROGRESS,0.0,,,0.0,LOW,5,WhatsApp Reminder,2025-01-15,2025-01-22,1,SLA Breach
CASE_59,8890,17,SME,391,0.4,0,DCA_C,88,3,1,CUST_1058,Karen Rodriguez,2024-12-29,2024-12-31,PAID,8608.88,2025-01-14,2025-01-14,45.5,LOW,10,WhatsApp Reminder,2025-01-13,,1,SLA Breach
CASE_60,46606,86,SME,399,0.44,0,DCA_D,95,3,0,CUST_1059,Linda Jones,2024-10-21,2024-10-21,OPEN,0.0,,,60.1,MEDIUM,4,Email,2024-12-16,2025-01-21,1,Contact Info Invalid
CASE_61,494492,118,SME,754,0.95,0,DCA_B,96,2,1,CUST_1060,Robert Smith,2024-09-19,2024-09-21,PAID,482394.73,2024-10-17,2024-10-17,34.9,LOW,14,Legal Notice,2024-09-28,,1,SLA Breach
CASE_62,261840,64,SME,897,0.45,0,DCA_C,59,1,1,CUST_1061,Linda Garcia,2024-11-12,2024-11-14,PAID,245771.38,2024-12-10,2024-12-10,9.9,LOW,1,Email,2024-11-16,,1,SLA Breach
CASE_63,478254,12,Enterprise,693,0.65,0,DCA_A,76,1,1,CUST_1062,Martinez Inc,2025-01-03,2025-01-04,PAID,452381.26,2025-01-13,2025-01-13,16.9,LOW,9,Legal Notice,2025-01-09,,1,SLA Breach
CASE_64,354457,56,Enterprise,893,0.49,0,DCA_A,99,1,1,CUST_1063,Gonzalez Logistics,2024-11-20,2024-11-22,PAID,331645.75,2024-12-01,2024-12-01,8.5,LOW,5,SMS,2024-11-30,,1,SLA Breach
CASE_65,146699,174,SME,804,0.85,1,DCA_A,81,3,0,CUST_1064,John Gonzalez,2024-07-25,2024-07-26,OPEN,0.0,,,52.8,MEDIUM,9,Physical Visit,2024-08-31,2025-01-16,1,SLA Breach
CASE_66,275936,175,SME,416,0.93,0,DCA_B,59,0,0,CUST_1065,Elizabeth Miller,2024-07-24,2024-07-24,IN_PROGRESS,0.0,,,78.3,HIGH,5,SMS,2025-01-13,2025-01-23,0,
CASE_67,244931,101,SME,790,0.39,0,DCA_B,98,1,1,CUST_1066,Charles Jones,2024-10-06,2024-10-09,PAID,222984.77,2024-11-25,2024-11-25,27.9,LOW,9,WhatsApp Reminder,2024-11-24,,1,SLA Breach
CASE_68,244629,16,SME,641,0.69,0,DCA_A,61,0,0,CUST_1067,Charles Johnson,2024-12-30,2025-01-01,OPEN,0.0,,,22.6,LOW,12,Legal Notice,2025-01-13,2025-01-27,0,
CASE_69,210041,2,SME,725,0.83,1,DCA_C,90,0,1,CUST_1068,Joseph Davis,2025-01-13,2025-01-13,PAID,198337.91,2025-01-15,2025-01-15,21.8,LOW,3,WhatsApp Reminder,2025-01-14,,0,
CASE_70,179073,128,Enterprise,769,0.83,0,DCA_B,93,0,1,CUST_1069,Brown Technologies,2024-09-09,2024-09-12,PAID,168702.92,2024-09-14,2024-09-14,35.8,LOW,7,Email,2024-09-13,,0,
CASE_71,212624,92,SME,433,0.59,0,DCA_C,99,3,1,CUST_1070,William Martinez,2024-10-15,2024-10-16,PAID,201087.65,2024-11-15,2024-11-15,58.4,MEDIUM,14,WhatsApp Reminder,2024-11-02,,1,SLA Breach
CASE_72,422113,105,Enterprise,479,0.45,0,DCA_C,69,1,0,CUST_1071,Garcia Technologies,2024-10-02,2024-10-03,OPEN,0.0,,,57.1,MEDIUM,2,Email,2025-01-08,2025-01-25,1,SLA Breach
CASE_73,73148,155,Enterprise,511,0.55,0,DCA_D,68,3,0,CUST_1072,Wilson Solutions,2024-08-13,2024-08-15,IN_PROGRESS,0.0,,,65.3,MEDIUM,5,WhatsApp Reminder,2024-09-12,2025-01-18,1,SLA Breach
CASE_74,257801,31,SME,817,0.79,1,DCA_D,69,0,0,CUST_1073,Elizabeth Wilson,2024-12-15,2024-12-15,IN_PROGRESS,0.0,,,19.9,LOW,14,SMS,2024-12-26,2025-01-23,0,
CASE_75,129243,169,Enterprise,884,0.95,1,DCA_B,59,3,0,CUST_1074,Miller Systems,2024-07-30,2024-07-30,DISPUTE,0.0,,,44.5,LOW,13,Call,2024-11-08,2025-01-17,1,SLA Breach
CASE_76,256995,164,Enterprise,712,0.66,1,DCA_C,86,1,0,CUST_1075,Wilson Solutions,2024-08-04,2024-08-04,OPEN,0.0,,,59.0,MEDIUM,4,SMS,2024-11-18,2025-01-27,1,SLA Breach
CASE_77,387318,47,Enterprise,656,0.43,0,DCA_C,50,1,0,CUST_1076,Brown LLC,2024-11-29,2024-11-29,IN_PROGRESS,0.0,,,28.1,LOW,5,Call,2024-12-27,2025-01-24,1,SLA Breach
CASE_78,159555,43,SME,752,0.33,0,DCA_A,79,0,0,CUST_1077,Karen Smith,2024-12-03,2024-12-03,IN_PROGRESS,0.0,,,18.5,LOW,12,Call,2025-01-02,2025-01-23,0,
CASE_79,391502,65,SME,734,0.91,0,DCA_C,81,1,0,CUST_1078,David Garcia,2024-11-11,2024-11-12,DISPUTE,0.0,,,25.0,LOW,3,Call,2024-11-17,2025-01-28,1,Contact Info Invalid
CASE_80,53555,50,Enterprise,376,0.61,0,DCA_C,56,1,1,CUST_1079,Rodriguez Enterprises,2024-11-26,2024-11-28,PAID,51301.02,2024-12-08,2024-12-08,54.2,MEDIUM,1,Email,2024-12-01,,1,SLA Breach
CASE_81,261508,1,SME,582,0.77,0,DCA_B,64,0,1,CUST_1080,Thomas Miller,2025-01-14,2025-01-15,PAID,255102.65,2025-01-15,2025-01-15,24.6,LOW,4,Legal Notice,2025-01-15,,0,
CASE_82,284303,144,Enterprise,836,0.73,0,DCA_B,71,1,1,CUST_1081,Rodriguez Inc,2024-08-24,2024-08-26,PAID,272867.83,2025-01-04,2025-01-04,33.3,LOW,7,Email,2024-11-05,,1,SLA Breach
CASE_83,377654,122,SME,720,0.88,0,DCA_C,97,0,1,CUST_1082,James Wilson,2024-09-15,2024-09-18,PAID,358565.26,2025-01-08,2025-01-08,38.9,LOW,2,WhatsApp Reminder,2024-12-24,,0,
CASE_84,111530,28,SME,450,0.47,0,DCA_C,60,2,0,CUST_1083,Joseph Hernandez,2024-12-18,2024-12-21,IN_PROGRESS,0.0,,,42.6,LOW,12,Legal Notice,2025-01-10,2025-01-24,1,SLA Breach
CASE_85,85077,86,Enterprise,802,0.59,1,DCA_D,54,0,0,CUST_1084,Hernandez LLC,2024-10-21,2024-10-22,OPEN,0.0,,,33.5,LOW,7,SMS,2024-11-18,2025-01-16,1,Dispute Raised
CASE_86,303064,82,SME,887,0.89,0,DCA_B,51,2,0,CUST_1085,Elizabeth Hernandez,2024-10-25,2024-10-26,IN_PROGRESS,0.0,,,14.9,LOW,1,Physical Visit,2024-11-07,2025-01-25,1,SLA Breach
CASE_87,490283,22,Enterprise,814,0.68,1,DCA_C,85,0,0,CUST_1086,Brown Technologies,2024-12-24,2024-12-25,OPEN,0.0,,,18.2,LOW,12,SMS,2024-12-27,2025-01-16,0,
CASE_88,465337,41,SME,884,0.35,0,DCA_A,80,3,1,CUST_1087,David Garcia,2024-12-05,2024-12-07,PAID,423557.95,2024-12-07,2024-12-07,6.0,LOW,13,Physical Visit,2024-12-07,,1,SLA Breach
CASE_89,205551,76,SME,634,0.43,0,DCA_D,63,0,0,CUST_1088,David Johnson,2024-10-31,2024-10-31,IN_PROGRESS,0.0,,,36.5,LOW,3,SMS,2024-11-24,2025-01-26,0,
CASE_90,487691,147,SME,883,0.45,1,DCA_C,90,0,0,CUST_1089,Jennifer Brown,2024-08-21,2024-08-21,OPEN,0.0,,,39.7,LOW,4,Email,2024-08-31,2025-01-23,1,Contact Info Invalid
CASE_91,286601,89,Enterprise,711,0.95,0,DCA_D,91,2,1,CUST_1090,Johnson Enterprises,2024-10-18,2024-10-18,PAID,260329.23,2024-11-08,2024-11-08,32.4,LOW,5,Call,2024-11-04,,1,SLA Breach
CASE_92,464773,178,Enterprise,554,0.45,0,DCA_C,96,3,0,CUST_1091,Jones Enterprises,2024-07-21,2024-07-23,IN_PROGRESS,0.0,,,66.5,MEDIUM,14,Physical Visit,2025-01-11,2025-01-29,1,SLA Breach
CASE_93,213261,59,Enterprise,517,0.87,0,DCA_C,85,1,0,CUST_1092,Anderson Enterprises,2024-11-17,2024-11-20,IN_PROGRESS,0.0,,,43.4,LOW,14,SMS,2024-12-20,2025-01-29,1,SLA Breach
CASE_94,245181,69,SME,507,0.35,0,DCA_D,58,2,1,CUST_1093,Jessica Anderson,2024-11-07,2024-11-08,PAID,222762.69,2024-12-23,2024-12-23,46.5,LOW,13,SMS,2024-11-25,,1,SLA Breach
CASE_95,346097,162,SME,589,0.42,0,DCA_C,62,1,0,CUST_1094,Barbara Gonzalez,2024-08-06,2024-08-07,DISPUTE,0.0,,,59.7,MEDIUM,11,Legal Notice,2024-09-16,2025-01-19,1,Dispute Raised
CASE_96,320139,167,Enterprise,876,0.87,0,DCA_B,53,2,0,CUST_1095,Miller Systems,2024-08-01,2024-08-02,IN_PROGRESS,0.0,,,34.7,LOW,4,Email,2024-12-13,2025-01-24,1,SLA Breach
CASE_97,176829,123,SME,584,0.88,0,DCA_D,71,1,1,CUST_1096,Sarah Hernandez,2024-09-14,2024-09-14,PAID,162344.12,2024-09-22,2024-09-22,51.5,MEDIUM,14,Email,2024-09-20,,1,SLA Breach
CASE_98,276836,74,Enterprise,815,0.41,0,DCA_C,89,2,0,CUST_1097,Williams Holdings,2024-11-02,2024-11-03,IN_PROGRESS,0.0,,,19.6,LOW,1,WhatsApp Reminder,2024-11-30,2025-01-21,1,SLA Breach
CASE_99,443974,7,Enterprise,531,0.45,0,DCA_D,77,1,1,CUST_1098,Miller Technologies,2025-01-08,2025-01-11,PAID,440767.71,2025-01-12,2025-01-12,30.6,LOW,8,Call,2025-01-12,,1,SLA Breach
CASE_100,470625,101,SME,631,0.64,1,DCA_A,66,1,0,CUST_1099,Thomas Garcia,2024-10-06,2024-10-09,OPEN,0.0,,,52.4,MEDIUM,10,Call,2024-10-29,2025-01-28,1,High Value Risk
CASE_101,207283,111,Enterprise,506,0.33,1,DCA_C,59,2,0,CUST_1100,Martinez Enterprises,2024-09-26,2024-09-29,OPEN,0.0,,,65.9,MEDIUM,1,SMS,2024-10-06,2025-01-16,1,Contact Info Invalid
CASE_102,201769,52,Enterprise,660,0.91,1,DCA_A,69,1,0,CUST_1101,Wilson Corp,2024-11-24,2024-11-25,OPEN,0.0,,,38.8,LOW,3,Legal Notice,2024-12-02,2025-01-24,1,SLA Breach
CASE_103,42065,24,Enterprise,650,0.54,0,DCA_D,85,0,1,CUST_1102,Davis Group,2024-12-22,2024-12-22,PAID,41128.17,2025-01-02,2025-01-02,23.5,LOW,12,Physical Visit,2024-12-26,,0,
CASE_104,228165,26,SME,672,0.62,1,DCA_B,79,1,0,CUST_1103,Robert Rodriguez,2024-12-20,2024-12-20,IN_PROGRESS,0.0,,,32.0,LOW,5,Email,2024-12-25,2025-01-27,1,SLA Breach
CASE_105,104299,125,Enterprise,400,0.37,0,DCA_A,67,1,0,CUST_1104,Johnson Corp,2024-09-12,2024-09-15,IN_PROGRESS,0.0,,,68.7,MEDIUM,6,Legal Notice,2024-12-30,2025-01-19,1,SLA Breach
CASE_106,430822,90,SME,843,0.32,1,DCA_B,58,2,0,CUST_1105,Karen Smith,2024-10-17,2024-10-17,OPEN,0.0,,,30.6,LOW,4,Legal Notice,2024-11-27,2025-01-28,1,SLA Breach
CASE_107,16534,122,SME,769,0.6,1,DCA_B,88,2,0,CUST_1106,Michael Davis,2024-09-15,2024-09-15,OPEN,0.0,,,44.5,LOW,10,Email,2024-11-17,2025-01-22,1,Refusal to Pay
CASE_108,492879,10,SME,430,0.38,1,DCA_B,82,0,0,CUST_1107,John Williams,2025-01-05,2025-01-07,DISPUTE,0.0,,,50.4,MEDIUM,13,Physical Visit,2025-01-09,2025-01-24,1,Contact Info Invalid
CASE_109,45397,17,SME,828,0.71,0,DCA_A,72,2,0,CUST_1108,Karen Gonzalez,2024-12-29,2025-01-01,IN_PROGRESS,0.0,,,5.8,LOW,11,Physical Visit,2025-01-02,2025-01-28,1,SLA Breach
CASE_110,262750,2,SME,776,0.82,0,DCA_D,71,1,1,CUST_1109,Richard Williams,2025-01-13,2025-01-15,PAID,252434.61,2025-01-15,2025-01-15,7.2,LOW,5,WhatsApp Reminder,2025-01-15,,1,SLA Breach
CASE_111,358531,112,SME,547,0.32,0,DCA_D,78,4,0,CUST_1110,Linda Gonzalez,2024-09-25,2024-09-26,IN_PROGRESS,0.0,,,52.4,MEDIUM,9,Email,2024-11-09,2025-01-27,1,SLA Breach
CASE_112,268160,27,Enterprise,674,0.7,1,DCA_D,50,1,0,CUST_1111,Smith Group,2024-12-19,2024-12-22,DISPUTE,0.0,,,32.0,LOW,8,Legal Notice,2024-12-22,2025-01-18,1,SLA Breach
CASE_113,488005,71,SME,695,0.83,0,DCA_A,71,2,1,CUST_1112,Jennifer Brown,2024-11-05,2024-11-05,PAID,487664.07,2025-01-05,2025-01-05,29.9,LOW,10,Email,2024-11-14,,1,SLA Breach
CASE_114,60591,176,SME,875,0.59,0,DCA_A,74,0,0,CUST_1113,William Martinez,2024-07-23,2024-07-25,IN_PROGRESS,0.0,,,36.8,LOW,3,Email,2024-11-25,2025-01-27,0,
CASE_115,225884,118,SME,377,0.92,0,DCA_B,63,1,0,CUST_1114,Jennifer Anderson,2024-09-19,2024-09-19,OPEN,0.0,,,69.2,MEDIUM,10,Physical Visit,2024-10-11,2025-01-20,1,SLA Breach
CASE_116,28247,9,SME,340,0.37,0,DCA_C,99,1,0,CUST_1115,Karen Martinez,2025-01-06,2025-01-06,OPEN,0.0,,,48.4,LOW,1,WhatsApp Reminder,2025-01-11,2025-01-18,1,SLA Breach
